Date,Open,High,Low,Close,Adj Close,Volume
2022-01-08,41561.46,42228.94,40672.28,41733.94,41733.94,28066355845
2022-01-09,41734.73,42663.95,41338.16,41911.6,41911.6,21294384372
2022-01-10,41910.23,42199.48,39796.57,41821.26,41821.26,32104232331
2022-01-11,41819.51,43001.16,41407.75,42735.86,42735.86,26327648900
2022-01-12,42742.18,44135.37,42528.99,43949.1,43949.1,33499938689
2022-01-13,43946.74,44278.42,42447.04,42591.57,42591.57,47691135082
2022-01-14,42598.87,43346.69,41982.62,43099.7,43099.7,23577403399
2022-01-15,43101.9,43724.67,42669.04,43177.4,43177.4,18371348298
2022-01-16,43172.04,43436.81,42691.02,43113.88,43113.88,17902097845
2022-01-17,43118.12,43179.39,41680.32,42250.55,42250.55,21690904261
2022-01-18,42250.07,42534.4,41392.21,42375.63,42375.63,22417209227
2022-01-19,42374.04,42478.3,41242.91,41744.33,41744.33,23091543258
2022-01-20,41744.03,43413.02,40672.82,40680.42,40680.42,20382033940
2022-01-21,40699.61,41060.53,35791.43,36457.32,36457.32,43011992031
2022-01-22,36471.59,36688.81,34349.25,35030.25,35030.25,39714385405
2022-01-23,35047.36,36433.31,34784.97,36276.8,36276.8,26017975951
2022-01-24,36275.73,37247.52,33184.06,36654.33,36654.33,41856658597
2022-01-25,36654.8,37444.57,35779.43,36954.0,36954.0,26428189594
2022-01-26,36950.52,38825.41,36374.91,36852.12,36852.12,31324598034
2022-01-27,36841.88,37148.32,35629.28,37138.23,37138.23,25041426629
2022-01-28,37128.45,37952.88,36211.11,37784.33,37784.33,22238830523
2022-01-29,37780.71,38576.26,37406.47,38138.18,38138.18,17194183075
2022-01-30,38151.92,38266.34,37437.71,37917.6,37917.6,14643548444
2022-01-31,37920.28,38647.26,36733.57,38483.12,38483.12,20734730465
2022-02-01,38481.77,39115.13,38113.66,38743.27,38743.27,20288500328
2022-02-02,38743.71,38834.62,36832.73,36952.98,36952.98,19155189416
2022-02-03,36944.8,37154.6,36375.54,37154.6,37154.6,18591534769
2022-02-04,37149.27,41527.79,37093.63,41500.88,41500.88,29412210792
2022-02-05,41501.48,41847.16,41038.1,41441.16,41441.16,19652846215
2022-02-06,41441.12,42500.79,41244.91,42412.43,42412.43,16142097334
2022-02-07,42406.78,44401.86,41748.16,43840.29,43840.29,28641855926
2022-02-08,43854.65,45293.87,42807.84,44118.45,44118.45,33079398868
2022-02-09,44096.7,44727.8,43232.97,44338.8,44338.8,23245887300
2022-02-10,44347.8,45661.17,43402.81,43565.11,43565.11,32142048537
2022-02-11,43571.13,43810.83,42114.54,42407.94,42407.94,26954925781
2022-02-12,42412.3,42992.55,41852.57,42244.47,42244.47,18152390304
2022-02-13,42236.57,42693.05,41950.94,42197.52,42197.52,14741589015
2022-02-14,42157.4,42775.78,41681.96,42586.92,42586.92,20827783012
2022-02-15,42586.46,44667.22,42491.04,44575.2,44575.2,22721659051
2022-02-16,44578.28,44578.28,43456.69,43961.86,43961.86,19792547657
2022-02-17,43937.07,44132.97,40249.37,40538.01,40538.01,26246662813
2022-02-18,40552.13,40929.15,39637.62,40030.98,40030.98,23310007704
2022-02-19,40026.02,40418.88,39713.06,40122.16,40122.16,13736557863
2022-02-20,40118.1,40119.89,38112.81,38431.38,38431.38,18340576452
2022-02-21,38423.21,39394.44,36950.48,37075.28,37075.28,29280402798
2022-02-22,37068.77,38359.86,36488.93,38286.03,38286.03,25493150450
2022-02-23,38285.28,39122.39,37201.82,37296.57,37296.57,21849073843
2022-02-24,37278.57,38968.84,34459.22,38332.61,38332.61,46383802093
2022-02-25,38333.75,39630.32,38111.34,39214.22,39214.22,26545599159
2022-02-26,39213.08,40005.35,38702.54,39105.15,39105.15,17467554129
2022-02-27,39098.7,39778.94,37268.98,37709.79,37709.79,23450127612
2022-02-28,37706.0,43760.46,37518.21,43193.23,43193.23,35690014104
2022-03-01,43194.5,44793.6,42952.59,44354.64,44354.64,32479047645
2022-03-02,44357.62,45077.58,43432.85,43924.12,43924.12,29183112630
2022-03-03,43925.2,44021.58,41914.75,42451.79,42451.79,24967782593
2022-03-04,42458.14,42479.61,38805.85,39137.61,39137.61,28516271427
2022-03-05,39148.45,39566.34,38777.04,39400.59,39400.59,16975917450
2022-03-06,39404.2,39640.18,38211.65,38419.98,38419.98,19745229902
2022-03-07,38429.3,39430.23,37260.2,38062.04,38062.04,28546143503
2022-03-08,38059.9,39304.44,37957.39,38737.27,38737.27,25776583476
