Date,BTC-USD,ETH-USD,LTC-USD,Profile ID,Return,Risk,Sharpe
3/10/2018,-0.050500399,-0.057660649,-0.050435433,67,0.446146078,0.824249964,0.446146078
3/11/2018,0.080377848,0.053065265,0.063129466,68,0.455695763,0.821078296,0.455695763
3/12/2018,-0.038994094,-0.032502005,-0.056734586,69,0.314606934,0.958984495,0.314606934
3/13/2018,-0.001115683,-0.012860266,-0.013746283,70,0.522579055,0.820758695,0.522579055
3/14/2018,-0.100604143,-0.110794262,-0.083513483,71,0.486248477,0.810304514,0.486248477
3/15/2018,0.003754621,-0.004867408,0.020980757,72,0.45467043,0.848010133,0.45467043
3/16/2018,0.0045164,-0.015753313,0.005897374,73,0.447396443,0.843870273,0.447396443
3/17/2018,-0.050545971,-0.081257168,-0.075430644,74,0.424828334,0.81771979,0.424828334
3/18/2018,0.03875264,-0.025579797,0.007190952,75,0.434819248,0.84443802,0.434819248
3/19/2018,0.049487577,0.033584583,0.045888233,76,0.405988852,0.79965754,0.405988852
3/20/2018,0.032769258,0.000790329,0.04766042,77,0.481214692,0.79181595,0.481214692
3/21/2018,0.00177372,0.008184217,0.001362398,78,0.450538866,0.834852743,0.450538866
3/22/2018,-0.022488935,-0.03921813,-0.031824904,79,0.518468889,0.861251237,0.518468889
3/23/2018,0.017316895,-0.00014823,0.025416998,80,0.418024937,0.908027615,0.418024937
3/24/2018,-0.023818587,-0.024424595,-0.048858964,81,0.394120707,0.760590431,0.394120707
3/25/2018,-0.019882051,-0.004084036,0.002819019,82,0.441468635,0.792578245,0.441468635
3/26/2018,-0.0337085,-0.065498102,-0.067841079,83,0.515225183,0.873308417,0.515225183
3/27/2018,-0.045845007,-0.08129401,-0.090068355,84,0.431596302,0.828934051,0.431596302
3/28/2018,0.015503559,-0.008531058,-0.029680365,85,0.53333518,0.8690079,0.53333518
3/29/2018,-0.09916173,-0.135139374,-0.129563567,86,0.475451363,0.879068218,0.475451363
3/30/2018,-0.038402389,0.022462886,0.034182072,87,0.476719924,0.83642247,0.476719924
3/31/2018,0.012046986,0.004611798,-0.016779089,88,0.498281361,0.800468469,0.498281361
4/1/2018,-0.018541542,-0.042501135,-0.011920075,89,0.352038631,0.852509031,0.352038631
4/2/2018,0.035003207,0.017939464,0.035497309,90,0.3980932,0.82271539,0.3980932
4/3/2018,0.052557949,0.078852026,0.127063951,91,0.400899776,0.775005022,0.400899776
4/4/2018,-0.080775364,-0.087193264,-0.119431844,92,0.33382965,0.873723225,0.33382965
4/5/2018,-0.006181936,0.007068902,0.006080568,93,0.371997461,0.787293855,0.371997461
4/6/2018,-0.02571398,-0.033765624,-0.050197263,94,0.496483084,0.792402249,0.496483084
4/7/2018,0.041403971,0.040562802,0.027485639,95,0.481032888,0.777153822,0.481032888
4/8/2018,0.016268056,0.039448756,0.012127989,96,0.399855981,0.822138388,0.399855981
4/9/2018,-0.035991924,-0.004943697,-0.022775559,97,0.462404541,0.774818065,0.462404541
4/10/2018,0.009456883,0.039419868,-0.006348378,98,0.48327216,0.826057104,0.48327216
4/11/2018,0.019541286,0.03934917,0.035270436,99,0.433121058,0.880983701,0.433121058
4/12/2018,0.132159545,0.144934269,0.09341449,100,0.410397106,0.838848912,0.410397106
4/13/2018,0.000850524,-0.000426015,-0.030848925,101,0.417762345,0.822536176,0.417762345
4/14/2018,0.011433695,0.017758204,0.007499003,102,0.41789412,0.74769564,0.41789412
4/15/2018,0.042932594,0.060261626,0.045530129,103,0.370710671,0.831331634,0.370710671
4/16/2018,-0.032469255,-0.038649614,-0.028021812,104,0.460555709,0.818509017,0.460555709
4/17/2018,-0.019430005,-0.01615964,0.035764376,105,0.536317197,0.900247219,0.536317197
4/18/2018,0.033070998,0.043548291,0.053185887,106,0.431091584,0.812962005,0.431091584
4/19/2018,0.016033721,0.082128089,0.045,107,0.463967322,0.805293274,0.463967322
4/20/2018,0.066493777,0.084224057,0.063157895,108,0.507560289,0.799411901,0.507560289
4/21/2018,0.005624119,-0.016760865,-0.042497107,109,0.410650598,0.82127132,0.410650598
4/22/2018,-0.01046812,0.027188636,-0.014503458,110,0.33612058,0.923490965,0.33612058
4/23/2018,0.014589104,0.033271154,0.037337331,111,0.462041137,0.906678875,0.462041137
4/24/2018,0.085839245,0.102108785,0.088866995,112,0.468517787,0.86861598,0.468517787
4/25/2018,-0.087832947,-0.130959105,-0.126794547,113,0.411893695,0.789523323,0.411893695
4/26/2018,0.049263261,0.077004322,0.061619232,114,0.406785054,0.754606936,0.406785054
4/27/2018,-0.031725441,-0.023807728,-0.050624675,115,0.411597381,0.888730241,0.411597381
4/28/2018,0.040216756,0.056643432,0.043865661,116,0.409645061,0.848245687,0.409645061
4/29/2018,0.00755203,0.007605897,0.008732764,117,0.338261567,0.92943314,0.338261567
4/30/2018,-0.01895408,-0.027522936,-0.033522099,118,0.358984737,0.804982025,0.358984737
5/1/2018,-0.013152897,0.00550812,6.73E-05,119,0.428665245,0.841660669,0.428665245
5/2/2018,0.012820471,0.020100652,0.020809482,120,0.446641462,0.775328201,0.446641462
5/3/2018,0.054996145,0.134453904,0.065180103,121,0.385601357,0.830502438,0.385601357
5/4/2018,-0.004423298,0.007799471,0.045398241,122,0.496207032,0.841207672,0.496207032
5/5/2018,0.016224502,0.038822841,0.053142959,123,0.41766176,0.774776444,0.41766176
5/6/2018,-0.020627603,-0.029174631,-0.033528353,124,0.418071128,0.815069211,0.418071128
5/7/2018,-0.029186519,-0.048705683,-0.040279395,125,0.434297265,0.809752291,0.434297265
5/8/2018,-0.014743396,-0.001141007,-0.031901989,126,0.53348149,0.879466001,0.53348149
5/9/2018,0.009784706,-0.000770396,-0.016100739,127,0.431684789,0.849501744,0.431684789
5/10/2018,-0.030159203,-0.033232307,-0.045717924,128,0.472370363,0.851404284,0.472370363
5/11/2018,-0.066613666,-0.065573094,-0.085073731,129,0.353348386,0.87086275,0.353348386
5/12/2018,0.007510522,0.009505731,0.034714119,130,0.39735662,0.864569734,0.39735662
5/13/2018,0.025755771,0.069164055,0.019100648,131,0.435763593,0.832225336,0.435763593
5/14/2018,-0.000819584,-0.004021813,0.021578256,132,0.464351891,0.763235819,0.464351891
5/15/2018,-0.023679588,-0.029676271,-0.053009275,133,0.533936351,0.903441282,0.533936351
5/16/2018,-0.01663263,-0.002567467,-0.004360881,134,0.512237965,0.812846501,0.512237965
5/17/2018,-0.032801479,-0.04863871,-0.046671932,135,0.440821041,0.862398237,0.440821041
5/18/2018,0.019353077,0.032274849,0.024779694,136,0.430174569,0.921533608,0.430174569
5/19/2018,-0.00045934,0.003110733,-0.005438777,137,0.46424061,0.790372465,0.46424061
5/20/2018,0.032261937,0.027048368,0.032367721,138,0.470257869,0.833154614,0.470257869
5/21/2018,-0.011072152,-0.02257573,-0.037151038,139,0.504117048,0.807929762,0.504117048
5/22/2018,-0.044804662,-0.073624896,-0.043342502,140,0.475465959,0.840962726,0.475465959
5/23/2018,-0.060180706,-0.099036651,-0.072816288,141,0.471838614,0.832218026,0.471838614
5/24/2018,0.003905888,0.031134872,0.027659039,142,0.52538217,0.86071979,0.52538217
5/25/2018,-0.014128799,-0.024976735,-0.025854335,143,0.421290706,0.834435554,0.421290706
5/26/2018,-0.016611989,0.000937399,-0.009711989,144,0.39856399,0.836300692,0.39856399
5/27/2018,0.00167757,-0.024877401,-0.002451809,145,0.367211673,0.877575758,0.367211673
5/28/2018,-0.031517789,-0.098887667,-0.054157132,146,0.449965225,0.817736337,0.449965225
5/29/2018,0.047169349,0.095632122,0.071415771,147,0.495571735,0.878582792,0.495571735
5/30/2018,-0.008841647,-0.010258406,-0.017061136,148,0.444488412,0.783114838,0.444488412
5/31/2018,0.011834168,0.032273629,0.004594572,149,0.471752392,0.773653393,0.471752392
6/1/2018,0.006308904,0.004137453,0.015668671,150,0.473533403,0.768636618,0.473533403
6/2/2018,0.01352525,0.020291704,0.028268846,151,0.454735753,0.875678598,0.454735753
6/3/2018,0.010047819,0.044811679,0.017760117,152,0.431827233,0.852150491,0.431827233
6/4/2018,-0.026654577,-0.040997526,-0.044621514,153,0.463238071,0.767592585,0.463238071
6/5/2018,0.015874706,0.027522007,0.01501251,154,0.412459138,0.82719008,0.412459138
6/6/2018,0.00264876,-0.003577876,-0.004272802,155,0.423874688,0.807433767,0.423874688
6/7/2018,0.003169593,-0.003178943,0.002063047,156,0.437654722,0.887183991,0.437654722
6/8/2018,-0.0069443,-0.006791256,-0.011117516,157,0.465961301,0.858196708,0.465961301
